City,Year,Grantee,bridge to housing network,emergency shelter,family reunification program,flexible funds,food and nutrition,homeless services,homelessness prevention,homeshare program,housing assistance,housing navigation services,housing stability services,motel voucher,neighborhood revitalization services,opening doors program,outreach,project h.o.p.e.,rapid re housing,rental assistance,restrooms,safe parking,service center,staff and operations,take back the streets,transitional housing,work for hope,Total PEH,Unsheltered PEH,Population,"PEH Per 100,000","Unsheltered Per 100,000"
Carlsbad,2017,Women's Resource Center,0.0,14896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,152,115518,181.7898509,131.5812254
Carlsbad,2018,Urban Corps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40611.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,161,102,115382,139.5364962,88.40200378
Carlsbad,2018,Legal Aid Society,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40611.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,161,102,115382,139.5364962,88.40200378
Carlsbad,2018,Interfaith Community Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40611.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,161,102,115382,139.5364962,88.40200378
Carlsbad,2019,Women's Resource Center,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,52680.0,0.0,0.0,0.0,116500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,148,94,114747,128.9794069,81.91935301
Carlsbad,2019,Urban Corps,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,52680.0,0.0,0.0,0.0,116500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,148,94,114747,128.9794069,81.91935301
Carlsbad,2019,Meals on Wheels,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,52680.0,0.0,0.0,0.0,116500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,148,94,114747,128.9794069,81.91935301
Carlsbad,2019,Legal Aid Society,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,52680.0,0.0,0.0,0.0,116500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,148,94,114747,128.9794069,81.91935301
Carlsbad,2019,Interfaith Community Services,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,52680.0,0.0,0.0,0.0,116500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122472.0,0.0,0.0,0.0,148,94,114747,128.9794069,81.91935301
Carlsbad,2021,Interfaith Community Services,0.0,52574.0,0.0,0.0,0.0,419583.25,0.0,0.0,56775.0,0.0,0.0,12781.16,99510.0,0.0,1989211.47,0.0,350000.0,41211.0,125000.0,0.0,204217.0,40000.0,0.0,0.0,0.0,118,75,114160,103.3637001,65.69726699
